round,mu,seed,delta_rep,v_t,observable_fr_step,channel,channel_label,observable_fr_step_z_within_channel
12,0.05,0,2056.040120716265,0.658480454760138,0.004214473654156901,blind,Weak blind,-0.654062199717931
13,0.05,0,1750.9265251206816,616.025997146382,0.0032234472125588364,blind,Weak blind,-0.8225986045759798
14,0.05,0,920.0624471612973,1014.4437848745147,0.0053731975264069915,blind,Weak blind,-0.4570067555288538
15,0.05,0,2857.66446526238,1226.5274031556328,0.004613286925901427,blind,Weak blind,-0.5862390295095633
16,0.05,0,2143.5904825331527,296.81271226436365,0.0032653811140772853,blind,Weak blind,-0.8154672216915893
17,0.05,0,1119.3916410720558,273.9142798607354,0.004418592346737088,blind,Weak blind,-0.6193492706094842
18,0.05,0,2838.7837699493393,673.9944098845008,0.004058539278618803,blind,Weak blind,-0.6805807848372114
0,0.05,1,5797.32880531362,5606.905152909167,0.011751856372385705,blind,Weak blind,0.6277637254521674
1,0.05,1,4914.514400025248,4397.748889588693,0.00928680122878362,blind,Weak blind,0.20855035813816664
2,0.05,1,2682.667685291264,3372.8209576751688,0.007082202388508599,blind,Weak blind,-0.16636916680914962
3,0.05,1,3045.776103180833,3587.2094996289816,0.008752092572815267,blind,Weak blind,0.11761648317710388
4,0.05,1,4604.449155160051,4317.15864696115,0.009536982987734971,blind,Weak blind,0.25109688610641306
5,0.05,1,6659.4806654295535,4592.174840841501,0.0062050223793661844,blind,Weak blind,-0.31554456612122134
6,0.05,1,4409.381838546833,4735.602763016999,0.006768906171751996,blind,Weak blind,-0.21964909538768582
7,0.05,1,2319.578863315808,3589.7708318014047,0.006313287802981667,blind,Weak blind,-0.29713268072574817
8,0.05,1,2793.868953281548,3939.9813860149006,0.005545359587485238,blind,Weak blind,-0.42772845011826266
9,0.05,1,3199.930924761924,2913.960353228438,0.005482170160723453,blind,Weak blind,-0.4384746001345015
10,0.05,1,2991.7490179179003,1765.783557718445,0.0051763925243162884,blind,Weak blind,-0.490475900365153
11,0.05,1,4799.378920765361,1288.6004947863985,0.0070243159075350555,blind,Weak blind,-0.1762134847644132
12,0.05,1,643.8639911980717,177.99402485211613,0.004472268953176683,blind,Weak blind,-0.6102208943174026
13,0.05,1,2120.0396781350137,76.10439228045288,0.004749636163408504,blind,Weak blind,-0.563051141346334
14,0.05,1,2227.0413421262638,460.9396540335729,0.004150781559274487,blind,Weak blind,-0.6648938347165392
15,0.05,1,3897.070759818307,886.1857899078168,0.004085322871275801,blind,Weak blind,-0.6760259009046355
16,0.05,1,341.10997769172536,12.945212690217886,0.004220337962692137,blind,Weak blind,-0.6530649009214293
17,0.05,1,959.2447797682253,739.2761128139682,0.006163963792936013,blind,Weak blind,-0.32252709075934916
18,0.05,1,2365.2269327924005,170.83571110776393,0.0036330346228799384,blind,Weak blind,-0.7529431577451937
0,0.05,2,8792.144017311744,6510.3818293037475,0.007592749123916166,blind,Weak blind,-0.07954432774748633
1,0.05,2,3504.8408251333167,4885.818961268931,0.012911501131093687,blind,Weak blind,0.8249757778672019
2,0.05,2,2796.3619446030934,2709.1263736391556,0.009055416446379356,blind,Weak blind,0.16920049043696492
3,0.05,2,6291.350600442791,4043.698453015473,0.00705158843979351,blind,Weak blind,-0.17157545055535295
4,0.05,2,2350.931741139968,5176.266959083325,0.004938237535162678,blind,Weak blind,-0.5309771261510499
5,0.05,2,2442.706191159261,4196.138408751285,0.007055246629224497,blind,Weak blind,-0.17095332982364558
6,0.05,2,5301.442767669563,5212.133029496588,0.006441502492103533,blind,Weak blind,-0.2753281739562349
7,0.05,2,4701.139091294375,4901.449267060147,0.005190190555314769,blind,Weak blind,-0.48812937312733895
8,0.05,2,2995.150933293684,3224.72918613645,0.007072877134583338,blind,Weak blind,-0.1679550425284871
9,0.05,2,5336.595309254364,3976.5350577171193,0.005420467166853558,blind,Weak blind,-0.44896796370110964
10,0.05,2,1700.3181206149748,2375.726736912562,0.006322299700369932,blind,Weak blind,-0.2956000951931981
11,0.05,2,2018.1193777150474,689.7429538408178,0.004664687271566201,blind,Weak blind,-0.5774977597480494
12,0.05,2,347.2540607160772,164.48981004452799,0.005055815714885274,blind,Weak blind,-0.5109814904460674
13,0.05,2,2128.1707370014046,587.6576820868067,0.003262384823172492,blind,Weak blind,-0.8159767783247992
14,0.05,2,1001.2003712822334,632.9948537501041,0.004662616569681669,blind,Weak blind,-0.5778499084259283
15,0.05,2,1872.5577315008268,832.1194020174444,0.004780505025480176,blind,Weak blind,-0.5578015064049804
16,0.05,2,235.28948002954712,771.132798470906,0.005553272346376843,blind,Weak blind,-0.42638278679373104
17,0.05,2,704.2159562815796,423.27799437131034,0.0049074646055170534,blind,Weak blind,-0.5362104465870414
18,0.05,2,3074.569552293746,418.6122566140839,0.004828901341904286,blind,Weak blind,-0.549571109277191
0,0.05,3,6046.299344515835,5731.389176168304,0.012724674888032018,blind,Weak blind,0.7932036454425859
1,0.05,3,5053.20107084862,4325.364776494214,0.00897055004640807,blind,Weak blind,0.15476790080662034
2,0.05,3,1470.0393558160868,2914.385512739187,0.010682003224908549,blind,Weak blind,0.4458218562613587
3,0.05,3,2114.1600765360054,4004.4027801332413,0.007863566802940595,blind,Weak blind,-0.033488404233298415
4,0.05,3,5164.5384852977,4777.3619838427985,0.005891407210271911,blind,Weak blind,-0.3688787365222314
5,0.05,3,5661.867007943743,5411.232950533275,0.005737581447176102,blind,Weak blind,-0.39503872580052785
6,0.05,3,4008.8253569533117,4456.657444345939,0.007850555957315616,blind,Weak blind,-0.035701060781857336
7,0.05,3,5604.078320667148,3790.8806650413317,0.005047005860451006,blind,Weak blind,-0.5124797160547405
8,0.05,3,2827.943646484462,3350.249124183145,0.005729690354808813,blind,Weak blind,-0.39638070446240997
